"Event variant/page","Source","Scene evidence","Role","Character","Lines (zero based)","Classification","Priority","Previous art","Resolved art","Action"
"story-ashen-leaf-village-4-0/page:7/The Black Flower","src/data/storylines.ts:692","The Register wall, ink drying","background","","2","REPLACE","3","/scenes/story/cinematic/ashen-black-flower-reveal.webp","/scenes/story/cinematic/ashen-black-flower-reveal-v2.webp","Integrated reviewed replacement: flowerGeneration. See production.json for reference lock and production brief."
"story-ashen-leaf-village-4-0/page:8/Elder Mori","src/data/storylines.ts:697","The Register wall, a crowd gathering","background","","0,1,2,3,4","REPLACE","3","/scenes/story/cinematic/ashen-black-flower-reveal.webp","/scenes/story/cinematic/ashen-black-flower-reveal-v2.webp","Integrated reviewed replacement: flowerGeneration. See production.json for reference lock and production brief."
"story-ashen-leaf-village-4-0/page:8/Elder Mori","src/data/storylines.ts:697","The Register wall, a crowd gathering","actor","Elder Mori","0,1,2,3,4","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-4-0/page:9/The Grove Trial","src/data/storylines.ts:706","The old grove, roots breaking the flagstones","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/ashen-old-grove-trial.webp","/scenes/story/cinematic/ashen-old-grove-trial.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-4-0/page:9/The Grove Trial","src/data/storylines.ts:706","The old grove, roots breaking the flagstones","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-15-1/page:0/The Blessing","src/data/storylines.ts:718","Ash-house row at dawn, neighbors gathering","background","","0,1,2","REPLACE","3","/scenes/story/story-ashen-leaf-village-15-1.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-dawn-v1.webp","Integrated reviewed replacement: ashenFence. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:1/Eleven Flowers","src/data/storylines.ts:723","The fence line, crowd thinning","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-dawn-v1.webp","Integrated reviewed replacement: ashenFence. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:1/Eleven Flowers","src/data/storylines.ts:723","The fence line, crowd thinning","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-15-1/page:2/The Kage at the Fence","src/data/storylines.ts:729","Imera's gate, winter bundles stacked","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-dawn-v1.webp","Integrated reviewed replacement: ashenFence. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:2/The Kage at the Fence","src/data/storylines.ts:729","Imera's gate, winter bundles stacked","actor","Kage Hoshina Enju","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-15-1/page:3/What the Village Says","src/data/storylines.ts:735","The gate, Hoshina's guards moving on","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-dawn-v1.webp","Integrated reviewed replacement: ashenFence. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:3/What the Village Says","src/data/storylines.ts:735","The gate, Hoshina's guards moving on","actor","Imera","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/imera.webp?v=891202c8e","/portraits/cinematic/storywide/imera.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-15-1/page:4/Mori Counts","src/data/storylines.ts:743","The register annex, bloom charts on the table","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-annex-charts.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-15-1/page:4/Mori Counts","src/data/storylines.ts:743","The register annex, bloom charts on the table","actor","Elder Mori","0,1,2,3","REMAP","1","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/storywide/elder-mori-solemn.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-15-1/page:5/The Night Watch","src/data/storylines.ts:751","The fence line, moonless","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-night-v1.webp","Integrated supported story-state variant: ashenFenceNight. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:6/Imera's Shears","src/data/storylines.ts:759","The fence line","background","","0,1,2,3,4","VARIANT","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-night-v1.webp","Integrated supported story-state variant: ashenFenceNight. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:6/Imera's Shears","src/data/storylines.ts:759","The fence line","actor","Imera","0,1,2,3,4","KEEP","5","/portraits/cinematic/storywide/imera.webp?v=891202c8e","/portraits/cinematic/storywide/imera.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-15-1/page:7/The Longest Cut","src/data/storylines.ts:768","Behind the rain barrel","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-night-v1.webp","Integrated supported story-state variant: ashenFenceNight. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:8/First Light","src/data/storylines.ts:775","The row at dawn, survey banners approaching","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-dawn-v1.webp","Integrated reviewed replacement: ashenFence. See production.json for reference lock and production brief."
"story-ashen-leaf-village-15-1/page:8/First Light","src/data/storylines.ts:775","The row at dawn, survey banners approaching","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-15-1/page:9/The Survey Arrives","src/data/storylines.ts:781","The gate, the Initiate's staff already glowing","background","","0,1,2","REPLACE","3","/scenes/story/story-ashen-leaf-village-15-1.webp","/scenes/story/cinematic/storywide/ashen-eleven-flower-fence-dawn-v1.webp","Integrated reviewed replacement: ashenFence. See production.json for reference lock and production brief."
"story-ashen-leaf-village-25-2/page:0/After Hours","src/data/storylines.ts:792","The archive, one lamp between the stacks","background","","0,1,2,3","REMAP","3","/scenes/story/story-ashen-leaf-village-25-2.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:0/After Hours","src/data/storylines.ts:792","The archive, one lamp between the stacks","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-25-2/page:1/Jorun's Plans","src/data/storylines.ts:798","The carpenter's slat, held to the lamp","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:2/The Bridge","src/data/storylines.ts:807","Between the racks","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:2/The Bridge","src/data/storylines.ts:807","Between the racks","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-25-2/page:3/A Quiet Debt","src/data/storylines.ts:815","Mori's desk, lamp turned low","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:3/A Quiet Debt","src/data/storylines.ts:815","Mori's desk, lamp turned low","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-25-2/page:4/Aren Reed","src/data/storylines.ts:823","The Reed family rack","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:4/Aren Reed","src/data/storylines.ts:823","The Reed family rack","actor","Toma Reed","0,1,2,3","REMAP","1","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/storywide/toma-reed-resolute.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:5/The Archive Wakes","src/data/storylines.ts:829","The stacks, lamp guttering","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:6/The Keeper of Copies","src/data/storylines.ts:834","The archive aisle, roots sliding from the walls","background","","0,1,2,3","REMAP","3","/scenes/story/story-ashen-leaf-village-25-2.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-25-2/page:6/The Keeper of Copies","src/data/storylines.ts:834","The archive aisle, roots sliding from the walls","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:0/The Kiln Stair","src/data/storylines.ts:846","Beneath the ancestral kiln, heat rising","background","","0,1,2,3","REMAP","3","/scenes/story/story-ashen-leaf-village-35-3.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-35-3/page:0/The Kiln Stair","src/data/storylines.ts:846","Beneath the ancestral kiln, heat rising","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:1/The Founders' Alcove","src/data/storylines.ts:852","A carved alcove, offerings behind wax","background","","0,1,2","KEEP","5","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:2/Given Gladly","src/data/storylines.ts:861","The alcove","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:2/Given Gladly","src/data/storylines.ts:861","The alcove","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:3/The Gift","src/data/storylines.ts:869","The alcove","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:3/The Gift","src/data/storylines.ts:869","The alcove","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:4/Aren's Map","src/data/storylines.ts:877","The alcove, out of Mori's hearing","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-35-3/page:4/Aren's Map","src/data/storylines.ts:877","The alcove, out of Mori's hearing","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:5/The Second Feeding","src/data/storylines.ts:885","Iron racks, fresh graft-slats in rows","background","","0,1,2,3,4,5","REMAP","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-35-3/page:6/The First Flame Sentinel","src/data/storylines.ts:893","The threshold, an armored shape kindling","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:6/The First Flame Sentinel","src/data/storylines.ts:893","The threshold, an armored shape kindling","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-35-3/page:7/Did You Give, Or Did You Take","src/data/storylines.ts:901","The threshold, the Rootfire at your back","background","","0,1,2","REMAP","3","/scenes/story/story-ashen-leaf-village-35-3.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-50-4/page:0/The Measuring","src/data/storylines.ts:912","The graft hall, ribbons and calipers","background","","0,1,2,3","REMAP","3","/scenes/story/story-ashen-leaf-village-50-4.webp","/scenes/story/cinematic/storywide/ashen-civic.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-50-4/page:0/The Measuring","src/data/storylines.ts:912","The graft hall, ribbons and calipers","actor","Registry Duty Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:1/Before the Bell","src/data/storylines.ts:918","The hall steps, Toma pacing","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-annex-steps.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-50-4/page:1/Before the Bell","src/data/storylines.ts:918","The hall steps, Toma pacing","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:2/The Grafting","src/data/storylines.ts:926","The rite circle, Hoshina presiding","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/storywide/ashen-civic.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:2/The Grafting","src/data/storylines.ts:926","The rite circle, Hoshina presiding","actor","Kage Hoshina Enju","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:3/Word for Word","src/data/storylines.ts:936","The rite circle","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/storywide/ashen-civic.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:3/Word for Word","src/data/storylines.ts:936","The rite circle","actor","Kage Hoshina Enju","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:4/The Question","src/data/storylines.ts:944","The rite circle, the hall holding its breath","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/storywide/ashen-civic.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:4/The Question","src/data/storylines.ts:944","The rite circle, the hall holding its breath","actor","Kage Hoshina Enju","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","/portraits/cinematic/storywide/kage-hoshina-enju-tense-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-50-4/page:5/The Substitution","src/data/storylines.ts:952","The rite circle","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/storywide/ashen-civic.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:5/The Substitution","src/data/storylines.ts:952","The rite circle","actor","Kage Hoshina Enju","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","/portraits/cinematic/storywide/kage-hoshina-enju-canon.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-50-4/page:6/The Trial of the Rootbound Master","src/data/storylines.ts:960","The rite circle, floor roots parting","background","","0,1,2","REMAP","3","/scenes/story/story-ashen-leaf-village-50-4.webp","/scenes/story/cinematic/storywide/ashen-civic.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-65-5/page:0/Escort Orders","src/data/storylines.ts:971","The register annex, crates on a wagon","background","","0,1,2,3","REMAP","3","/scenes/story/story-ashen-leaf-village-65-5.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-65-5/page:0/Escort Orders","src/data/storylines.ts:971","The register annex, crates on a wagon","actor","Registry Duty Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-65-5/page:1/A Fair Question","src/data/storylines.ts:981","The annex","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-65-5/page:1/A Fair Question","src/data/storylines.ts:981","The annex","actor","Registry Duty Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-65-5/page:2/The Charts","src/data/storylines.ts:989","The annex, voice low","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-annex.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-65-5/page:2/The Charts","src/data/storylines.ts:989","The annex, voice low","actor","Registry Duty Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-65-5/page:3/The Kiln Road","src/data/storylines.ts:997","The forest road, wagon wheels loud","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/storywide/ashen-kiln-road-wagon-v1.webp","Integrated reviewed replacement: ashenWagon. See production.json for reference lock and production brief."
"story-ashen-leaf-village-65-5/page:3/The Kiln Road","src/data/storylines.ts:997","The forest road, wagon wheels loud","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-65-5/page:4/Sealed","src/data/storylines.ts:1006","The wagon, still rolling","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-kiln-road-wagon-v1.webp","Integrated reviewed replacement: ashenWagon. See production.json for reference lock and production brief."
"story-ashen-leaf-village-65-5/page:4/Sealed","src/data/storylines.ts:1006","The wagon, still rolling","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-65-5/page:5/The Third Crate","src/data/storylines.ts:1014","Off the road, crate open","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-third-crate-open-v1.webp","Integrated reviewed replacement: ashenThirdCrate. See production.json for reference lock and production brief."
"story-ashen-leaf-village-65-5/page:6/The Manifest Under the Ash","src/data/storylines.ts:1024","Off the road, a folded paper under the second crate's false bottom","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-third-crate-open-v1.webp","Integrated reviewed replacement: ashenThirdCrate. See production.json for reference lock and production brief."
"story-ashen-leaf-village-65-5/page:6/The Manifest Under the Ash","src/data/storylines.ts:1024","Off the road, a folded paper under the second crate's false bottom","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-65-5/page:7/The Retrieval Squad","src/data/storylines.ts:1032","The road behind, lanterns through the trees","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/storywide/ashen-third-crate-open-v1.webp","Integrated reviewed replacement: ashenThirdCrate. See production.json for reference lock and production brief."
"story-ashen-leaf-village-65-5/page:7/The Retrieval Squad","src/data/storylines.ts:1032","The road behind, lanterns through the trees","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-65-5/page:8/Lantern Light","src/data/storylines.ts:1038","The kiln road, squad closing","background","","0,1,2","REPLACE","3","/scenes/story/story-ashen-leaf-village-65-5.webp","/scenes/story/cinematic/storywide/ashen-third-crate-open-v1.webp","Integrated reviewed replacement: ashenThirdCrate. See production.json for reference lock and production brief."
"story-ashen-leaf-village-75-6/page:0/Ash on the Wind","src/data/storylines.ts:1049","The kiln yard at dusk, ash falling upward","background","","0,1,2,3","KEEP","5","/scenes/story/story-ashen-leaf-village-75-6.webp","/scenes/story/story-ashen-leaf-village-75-6.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-75-6/page:0/Ash on the Wind","src/data/storylines.ts:1049","The kiln yard at dusk, ash falling upward","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-75-6/page:1/The First Flame","src/data/storylines.ts:1057","The Rootfire chamber, flames standing upright","background","","0,1,2,3,4","KEEP","5","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-75-6/page:1/The First Flame","src/data/storylines.ts:1057","The Rootfire chamber, flames standing upright","actor","First Flame Avatar","0,1,2,3,4","KEEP","5","/portraits/cinematic/storywide/first-flame-avatar.webp?v=891202c8e","/portraits/cinematic/storywide/first-flame-avatar.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-75-6/page:2/The Ask","src/data/storylines.ts:1067","The chamber, tokens rising in the heat","background","","0,1,2,3,4","REMAP","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-75-6/page:2/The Ask","src/data/storylines.ts:1067","The chamber, tokens rising in the heat","actor","First Flame Avatar","0,1,2,3,4","KEEP","5","/portraits/cinematic/storywide/first-flame-avatar.webp?v=891202c8e","/portraits/cinematic/storywide/first-flame-avatar.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-75-6/page:3/The Ghost Lines","src/data/storylines.ts:1076","The chamber, your copied page held up","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-75-6/page:3/The Ghost Lines","src/data/storylines.ts:1076","The chamber, your copied page held up","actor","First Flame Avatar","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/first-flame-avatar.webp?v=891202c8e","/portraits/cinematic/storywide/first-flame-avatar.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-75-6/page:4/The Bellows","src/data/storylines.ts:1084","The chamber's far vault, a chain thick as a tree","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-75-6/page:4/The Bellows","src/data/storylines.ts:1084","The chamber's far vault, a chain thick as a tree","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-75-6/page:5/Grief, Off the Chain","src/data/storylines.ts:1090","The vault, the Flame Beast rising","background","","0,1,2","REMAP","3","/scenes/story/story-ashen-leaf-village-75-6.webp","/scenes/story/cinematic/storywide/ashen-sanctum.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-ashen-leaf-village-85-7/page:0/The Detainment Lists","src/data/storylines.ts:1101","The village square, notices in fresh ink","background","","0,1,2,3","KEEP","5","/scenes/story/story-ashen-leaf-village-85-7.webp","/scenes/story/story-ashen-leaf-village-85-7.webp","Retain reviewed accurate artwork."
"story-ashen-leaf-village-85-7/page:0/The Detainment Lists","src/data/storylines.ts:1101","The village square, notices in fresh ink","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-ashen-leaf-village-85-7/page:1/Jonin","src/data/storylines.ts:1111","The square's edge","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/story-ashen-leaf-village-85-7.webp","Resolve this exact current story beat to retained, reviewed artwork."
